year,state,Auto,Bus,Truck,Motorcycle,Total_Vehicles
1980,AL,2105546.0,8716.0,823846.0,75990.0,3014098.0
1981,AL,2149718.0,8731.0,852841.0,73323.0,3084613.0
1982,AL,2194794.0,8300.0,836366.0,70895.0,3110355.0
1983,AL,2271950.0,8503.0,864316.0,72506.0,3217275.0
1984,AL,2266571.0,8375.0,927109.0,69637.0,3271692.0
1985,AL,2449566.0,8380.0,924885.0,63099.0,3445930.0
1986,AL,2524671.0,8361.0,923924.0,59222.0,3516178.0
1987,AL,2590443.0,8402.0,947738.0,55291.0,3601874.0
1988,AL,2787788.0,8443.0,1084750.0,50667.0,3931648.0
1989,AL,2597723.0,8370.0,1017111.0,46940.0,3670144.0
1990,AL,2629143.0,8234.0,1107114.0,43871.0,3788362.0
1991,AL,2214858.0,8248.0,1260691.0,40645.0,3524442.0
1992,AL,2107994.0,8270.0,1187800.0,41358.0,3345422.0
1993,AL,2116603.0,8351.0,1265411.0,40489.0,3430854.0
1994,AL,1927234.0,8401.0,1240925.0,39186.0,3215746.0
1995,AL,2118372.0,8451.0,1426012.0,37926.0,3590761.0
1996,AL,1761297.0,8514.0,1636905.0,36706.0,3443422.0
1997,AL,1905811.0,8576.0,1755052.0,39025.0,3708464.0
1998,AL,2062734.0,8641.0,1787553.0,44540.0,3903468.0
1999,AL,1918032.0,8708.0,2030509.0,49205.0,4006454.0
2000,AL,1961806.0,8776.0,1989567.0,54849.0,4014998.0
2001,AL,1765088.0,8826.0,2461175.0,54998.0,4290087.0
2002,AL,1801678.0,8894.0,2617427.0,62010.0,4490009.0
2003,AL,1770924.0,8964.0,2549357.0,70859.0,4400104.0
2004,AL,1693741.0,9088.0,2804922.0,81086.0,4588837.0
2005,AL,1761909.0,9073.0,2773536.0,93468.0,4637986.0
2006,AL,1795596.0,9082.0,2825636.0,104075.0,4734389.0
2007,AL,1976510.0,9205.0,2692056.0,110858.0,4788629.0
2008,AL,2220095.0,8947.0,2500749.0,127166.0,4856957.0
2009,AL,2171584.0,8884.0,2430377.0,122471.0,4733316.0
2010,AL,2211550.0,8813.0,2433475.0,123289.0,4777127.0
2011,AL,2307668.0,12373.0,2364601.0,127301.0,4811943.0
2012,AL,2042489.0,5699.0,2663979.0,132555.0,4844722.0
2013,AL,2074969.0,5406.0,2588760.0,118084.0,4787219.0
2014,AL,2524145.0,5397.0,2721534.0,115768.0,5366844.0
2015,AL,2278262.0,5727.0,3001316.0,115114.0,5400419.0
2016,AL,2284443.0,6238.0,3067917.0,109703.0,5468301.0
2017,AL,2065463.0,5682.0,2872743.0,112185.0,5056073.0
2018,AL,2161212.0,5767.0,3023208.0,110012.0,5300199.0
2019,AL,2334917.182080358,6040.518923414131,3108988.5406557578,,5449946.2416595295
2020,AL,2319976.5370919863,5869.241792963194,3521313.888399524,,5847159.667284474
1980,AK,163193.0,1445.0,96889.0,8827.0,270354.0
1981,AK,178887.0,1560.0,107148.0,9977.0,297572.0
1982,AK,199956.0,1580.0,117014.0,10462.0,329012.0
1983,AK,218673.0,1692.0,130123.0,10579.0,361067.0
1984,AK,227375.0,1794.0,138439.0,9925.0,377533.0
1985,AK,186851.0,1884.0,164280.0,9961.0,362976.0
1986,AK,191368.0,1987.0,169302.0,9736.0,372393.0
1987,AK,187926.0,2048.0,167427.0,9065.0,366466.0
1988,AK,190070.0,2034.0,169779.0,8614.0,370497.0
1989,AK,191946.0,2118.0,219679.0,8274.0,422017.0
1990,AK,247886.0,2144.0,227295.0,11541.0,488866.0
1991,AK,230821.0,2020.0,238062.0,11016.0,481919.0
1992,AK,226642.0,1918.0,257535.0,11191.0,497286.0
1993,AK,221507.0,1916.0,265581.0,11564.0,500568.0
1994,AK,231587.0,1935.0,299974.0,12553.0,546049.0
1995,AK,233859.0,2008.0,306319.0,12917.0,555103.0
1996,AK,228477.0,2034.0,307915.0,13122.0,551548.0
1997,AK,224770.0,2078.0,315550.0,13467.0,555865.0
1998,AK,232170.0,2196.0,311499.0,13695.0,559560.0
1999,AK,238202.0,2372.0,330895.0,14924.0,586393.0
2000,AK,244305.0,2510.0,347584.0,16107.0,610506.0
2001,AK,242293.0,2568.0,352873.0,16788.0,614522.0
2002,AK,255217.0,2250.0,362948.0,18173.0,638588.0
2003,AK,260999.0,2306.0,373478.0,19615.0,656398.0
2004,AK,255068.0,2440.0,402473.0,21134.0,681115.0
2005,AK,249560.0,2273.0,420933.0,22230.0,694996.0
2006,AK,242487.0,2706.0,429901.0,24122.0,699216.0
2007,AK,240931.0,2672.0,436538.0,25720.0,705861.0
2008,AK,242650.0,2763.0,445343.0,27946.0,718702.0
2009,AK,236223.0,2698.0,456361.0,29177.0,724459.0
2010,AK,228407.0,2795.0,479242.0,30194.0,740638.0
2011,AK,215688.0,2346.0,508900.0,31020.0,757954.0
