Start date/time in UTC,Timezone,Duration (s),Observer ID,Latitude,Longitude,Mean volume (dBA),Could control noise exposure,Indoors,Noise_Source,Nominated as noise refuge,Start date UTC,Start time UTC,Mood_scale,timestamp,hour_of_day,day_of_month,month,day_of_week
2022-02-08 14:07:20,New York,29,56,42.71516,-76.40451,42,False,True,"speaking head in silhouette,rolling on the floor laughing",False,2022-02-08,14:07:20,Happy,2022-02-08 14:07:20,14,8,2,2
2022-02-08 14:56:00,New York,29,54,42.71489,-76.40509,39,True,True,multiple musical notes,False,2022-02-08,14:56:00,Extremely Happy,2022-02-08 14:56:00,14,8,2,2
2022-02-08 15:46:02,New York,29,55,42.38951,-71.14181,70,False,False,"automobile,motorway",False,2022-02-08,15:46:02,Neutral,2022-02-08 15:46:02,15,8,2,2
2022-02-09 10:17:05,New York,29,61,41.82063,-71.42895,72,True,True,"multiple musical notes,violin,trumpet",False,2022-02-09,10:17:05,Extremely Happy,2022-02-09 10:17:05,10,9,2,3
2022-02-09 11:07:23,New York,29,64,42.47998,-76.45123,39,False,True,,False,2022-02-09,11:07:23,Happy,2022-02-09 11:07:23,11,9,2,3
2022-02-10 07:04:54,New York,29,73,33.5587,-84.55818,52,True,True,television,True,2022-02-10,07:04:54,Neutral,2022-02-10 07:04:54,7,10,2,4
2022-02-10 08:12:15,New York,29,79,33.50624,-84.33269,52,False,False,,False,2022-02-10,08:12:15,Extremely Happy,2022-02-10 08:12:15,8,10,2,4
2022-02-10 08:36:31,New York,29,78,32.46815,-83.72557,59,False,True,school,False,2022-02-10,08:36:31,Happy,2022-02-10 08:36:31,8,10,2,4
2022-02-10 08:59:26,New York,29,76,33.65593,-84.48597,72,False,True,,False,2022-02-10,08:59:26,Neutral,2022-02-10 08:59:26,8,10,2,4
2022-02-10 09:00:52,New York,29,61,41.82048,-71.42895,62,True,True,,False,2022-02-10,09:00:52,Neutral,2022-02-10 09:00:52,9,10,2,4
2022-02-10 09:20:29,New York,29,81,42.46009,-76.48364,47,True,True,,False,2022-02-10,09:20:29,Neutral,2022-02-10 09:20:29,9,10,2,4
2022-02-10 10:20:33,New York,29,82,42.48014,-76.45105,34,True,True,desktop computer,False,2022-02-10,10:20:33,Neutral,2022-02-10 10:20:33,10,10,2,4
2022-02-10 11:25:07,New York,29,65,40.61101,-75.49441,52,True,True,"bell,rolling on the floor laughing",False,2022-02-10,11:25:07,Neutral,2022-02-10 11:25:07,11,10,2,4
2022-02-10 11:42:19,New York,29,84,40.61413,-75.35048,63,True,False,,True,2022-02-10,11:42:19,Extremely Happy,2022-02-10 11:42:19,11,10,2,4
2022-02-10 15:18:48,New York,29,87,39.94969,-75.1672,53,False,True,"automobile,bird,taxi,bus,man+personal computer,office building",False,2022-02-10,15:18:48,Happy,2022-02-10 15:18:48,15,10,2,4
2022-02-10 15:25:04,New York,29,88,42.54205,-76.53897,46,False,False,,False,2022-02-10,15:25:04,Neutral,2022-02-10 15:25:04,15,10,2,4
2022-02-11 08:09:46,New York,29,94,39.94695,-75.16708,58,True,True,woman,False,2022-02-11,08:09:46,Neutral,2022-02-11 08:09:46,8,11,2,5
2022-02-11 13:43:37,New York,29,87,39.94971,-75.17148,68,False,False,"automobile,multiple musical notes,fountain,bird,bus,trumpet,honeybee,deciduous tree,speaking head in silhouette,rolling on the floor laughing",True,2022-02-11,13:43:37,Happy,2022-02-11 13:43:37,13,11,2,5
2022-02-11 15:36:50,New York,29,62,42.47711,-76.46714,70,False,False,,False,2022-02-11,15:36:50,Neutral,2022-02-11 15:36:50,15,11,2,5
2022-02-11 15:39:19,New York,29,62,42.47642,-76.46707,81,False,False,"automobile,bird,bus,wind blowing face,deciduous tree,speaking head in silhouette,rolling on the floor laughing",False,2022-02-11,15:39:19,Neutral,2022-02-11 15:39:19,15,11,2,5
2022-02-11 15:43:31,New York,29,62,42.47696,-76.46715,78,False,False,"automobile,vertical traffic light,bird,bus,wind blowing face,deciduous tree,speaking head in silhouette,rolling on the floor laughing",False,2022-02-11,15:43:31,Neutral,2022-02-11 15:43:31,15,11,2,5
2022-02-11 17:57:44,New York,29,78,33.79872,-84.51763,58,False,True,speaking head in silhouette,False,2022-02-11,17:57:44,Happy,2022-02-11 17:57:44,17,11,2,5
2022-02-12 08:00:25,New York,29,79,33.50631,-84.33275,40,False,False,,True,2022-02-12,08:00:25,Happy,2022-02-12 08:00:25,8,12,2,6
2022-02-12 18:36:20,New York,29,62,42.51826,-76.50368,59,False,True,"speaker with three sound waves,ice skate,office building,speaking head in silhouette,soccer ball",False,2022-02-12,18:36:20,Neutral,2022-02-12 18:36:20,18,12,2,6
2022-02-15 18:21:28,New York,29,130,43.27929,-76.1491,71,False,True,pistol,False,2022-02-15,18:21:28,Neutral,2022-02-15 18:21:28,18,15,2,2
2022-02-17 08:21:00,New York,29,130,43.05574,-76.15769,69,False,False,national park,False,2022-02-17,08:21:00,Neutral,2022-02-17 08:21:00,8,17,2,4
2022-02-18 16:22:19,New York,29,138,33.56164,-84.56215,39,True,True,house with garden,False,2022-02-18,16:22:19,Happy,2022-02-18 16:22:19,16,18,2,5
2022-02-18 18:20:13,New York,29,79,33.50646,-84.33327,43,False,False,,False,2022-02-18,18:20:13,Happy,2022-02-18 18:20:13,18,18,2,5
