predicted_noise,date,year,month,borough,predicted_noise_adjusted,noise_reduction_coef,total_noise_reduction
185698.1432690404,2023-06-01,2023,6,Bronx,137378.01501089532,1.301039617508147,48320.128258145065
273769.54401589825,2023-07-01,2023,7,Bronx,202532.53944953345,1.301039617508147,71237.0045663648
227048.99378309387,2023-08-01,2023,8,Bronx,167969.04657766066,1.301039617508147,59079.947205433215
364688.56673377566,2023-09-01,2023,9,Bronx,269793.7120591945,1.301039617508147,94894.85467458115
410029.22400585806,2023-10-01,2023,10,Bronx,303336.3710523093,1.301039617508147,106692.85295354878
127710.21825520392,2023-11-01,2023,11,Bronx,94479.00755307742,1.301039617508147,33231.2107021265
244318.73916456572,2023-12-01,2023,12,Bronx,180745.06737401785,1.301039617508147,63573.67179054787
338321.48087290395,2024-01-01,2024,1,Bronx,250287.5508589694,1.301039617508147,88033.93001393456
238764.29651163504,2024-02-01,2024,2,Bronx,176635.93471001516,1.301039617508147,62128.361801619874
325424.53421816486,2024-03-01,2024,3,Bronx,240746.49191277125,1.301039617508147,84678.04230539361
346133.3751708467,2024-04-01,2024,4,Bronx,256066.72836303024,1.301039617508147,90066.64680781646
95243.29082648462,2024-05-01,2024,5,Bronx,70460.23189306326,1.301039617508147,24783.05893342136
1429008.152511687,2023-06-01,2023,6,Brooklyn,1057168.9084797213,1.301039617508147,371839.24403196573
2290592.9093708433,2023-07-01,2023,7,Brooklyn,1694562.4848359001,1.301039617508147,596030.4245349432
2425879.53062883,2023-08-01,2023,8,Brooklyn,1794646.455298795,1.301039617508147,631233.0753300353
1994364.1069591646,2023-09-01,2023,9,Brooklyn,1475414.7639811388,1.301039617508147,518949.3429780258
2964838.720538129,2023-10-01,2023,10,Brooklyn,2193364.193549675,1.301039617508147,771474.5269884542
2799919.813609837,2023-11-01,2023,11,Brooklyn,2071358.492939352,1.301039617508147,728561.320670485
2575688.5217723637,2023-12-01,2023,12,Brooklyn,1905473.9599349955,1.301039617508147,670214.5618373682
2245565.028322686,2024-01-01,2024,1,Brooklyn,1661251.2152149621,1.301039617508147,584313.8131077238
2744720.6001869063,2024-02-01,2024,2,Brooklyn,2030522.5522201254,1.301039617508147,714198.0479667808
2563663.979847919,2024-03-01,2024,3,Brooklyn,1896578.299095769,1.301039617508147,667085.6807521502
3180312.2473503514,2024-04-01,2024,4,Brooklyn,2352769.801380516,1.301039617508147,827542.4459698354
2437378.3420090363,2024-05-01,2024,5,Brooklyn,1803153.1848470205,1.301039617508147,634225.1571620158
587.3824523830881,2023-06-01,2023,6,EWR,434.54088414719,1.301039617508147,152.84156823589808
5252.211728471428,2023-07-01,2023,7,EWR,3885.5446208149733,1.301039617508147,1366.6671076564544
5461.033566958948,2023-08-01,2023,8,EWR,4040.029362327863,1.301039617508147,1421.0042046310846
6447.554417472257,2023-09-01,2023,9,EWR,4769.8496708380435,1.301039617508147,1677.7047466342137
7602.950631034778,2023-10-01,2023,10,EWR,5624.602634847815,1.301039617508147,1978.3479961869625
1694.032129761924,2023-11-01,2023,11,EWR,1253.2315469315308,1.301039617508147,440.80058283039307
1478.0266551118652,2023-12-01,2023,12,EWR,1093.4324083051479,1.301039617508147,384.59424680671736
-8537.829038959433,2024-01-01,2024,1,EWR,-10759.439804398979,1.301039617508147,2221.6107654395455
-6493.848885059144,2024-02-01,2024,2,EWR,-8183.599818973755,1.301039617508147,1689.7509339146109
-5413.939362137089,2024-03-01,2024,3,EWR,-6822.6892815225165,1.301039617508147,1408.7499193854273
-7676.18661347661,2024-04-01,2024,4,EWR,-9673.591192580363,1.301039617508147,1997.4045791037533
-9348.751822668673,2024-05-01,2024,5,EWR,-11781.371121777362,1.301039617508147,2432.619299108688
26505963.245131355,2023-06-01,2023,6,Manhattan,19608901.588705216,1.301039617508147,6897061.656426139
40470331.05138618,2023-07-01,2023,7,Manhattan,29939630.245081466,1.301039617508147,10530700.806304712
67933011.24787581,2023-08-01,2023,8,Manhattan,50256303.45385321,1.301039617508147,17676707.794022597
68524984.09370023,2023-09-01,2023,9,Manhattan,50694240.274696305,1.301039617508147,17830743.819003925
68887914.59328184,2023-10-01,2023,10,Manhattan,50962733.38260637,1.301039617508147,17925181.210675463
53961686.85838019,2023-11-01,2023,11,Manhattan,39920428.37231591,1.301039617508147,14041258.486064278
77282141.43311998,2023-12-01,2023,12,Manhattan,57172715.887048595,1.301039617508147,20109425.546071388
79719039.57990465,2024-01-01,2024,1,Manhattan,58975513.82727345,1.301039617508147,20743525.752631195
67558162.3584171,2024-02-01,2024,2,Manhattan,49978993.21554744,1.301039617508147,17579169.14286965
65794326.88252058,2024-03-01,2024,3,Manhattan,48674121.706232466,1.301039617508147,17120205.176288113
69754012.05397972,2024-04-01,2024,4,Manhattan,51603465.42150603,1.301039617508147,18150546.632473692
50222626.76029928,2024-05-01,2024,5,Manhattan,37154301.33820444,1.301039617508147,13068325.422094837
4993812.70099159,2023-06-01,2023,6,Queens,3694383.067710505,1.301039617508147,1299429.6332810847
5718942.101861957,2023-07-01,2023,7,Queens,4230828.052910414,1.301039617508147,1488114.0489515439
8436207.767773705,2023-08-01,2023,8,Queens,6241039.662292993,1.301039617508147,2195168.105480712
7414470.785799962,2023-09-01,2023,9,Queens,5485166.738763459,1.301039617508147,1929304.0470365025
7437358.066111735,2023-10-01,2023,10,Queens,5502098.567390706,1.301039617508147,1935259.4987210287
7966288.228283105,2023-11-01,2023,11,Queens,5893396.910386085,1.301039617508147,2072891.3178970208
11852834.888683584,2023-12-01,2023,12,Queens,8768633.334691562,1.301039617508147,3084201.553992022
8697187.958987959,2024-01-01,2024,1,Queens,6434110.739876328,1.301039617508147,2263077.2191116307
9641015.439340306,2024-02-01,2024,2,Queens,7132346.8314224165,1.301039617508147,2508668.60791789
7909459.335305903,2024-03-01,2024,3,Queens,5851355.3456453765,1.301039617508147,2058103.9896605266
9280601.540597722,2024-04-01,2024,4,Queens,6865715.484872766,1.301039617508147,2414886.055724956
6076049.856585462,2024-05-01,2024,5,Queens,4495013.540310985,1.301039617508147,1581036.3162744762
19972.645798392943,2023-06-01,2023,6,Staten Island,14775.605108359574,1.301039617508147,5197.040690033369
15425.941090617054,2023-07-01,2023,7,Staten Island,11411.98899136913,1.301039617508147,4013.9520992479247
17069.29328675715,2023-08-01,2023,8,Staten Island,12627.727924969771,1.301039617508147,4441.5653617873795
18682.639305005796,2023-09-01,2023,9,Staten Island,13821.268525920314,1.301039617508147,4861.370779085482
19794.666409350106,2023-10-01,2023,10,Staten Island,14643.93736656566,1.301039617508147,5150.7290427844455
19040.59195408956,2023-11-01,2023,11,Staten Island,14086.079059474083,1.301039617508147,4954.512894615476
19393.353939355362,2023-12-01,2023,12,Staten Island,14347.049581063558,1.301039617508147,5046.3043582918035
15784.740374192561,2024-01-01,2024,1,Staten Island,11677.425858411581,1.301039617508147,4107.3145157809795
13839.497215262683,2024-02-01,2024,2,Staten Island,10238.350382572598,1.301039617508147,3601.146832690085
15318.04490447665,2024-03-01,2024,3,Staten Island,11332.168247778067,1.301039617508147,3985.8766566985832
18125.10652950775,2024-04-01,2024,4,Staten Island,13408.810196218714,1.301039617508147,4716.296333289036
15079.222935236003,2024-05-01,2024,5,Staten Island,11155.489647240098,1.301039617508147,3923.733287995905
2638701.018864042,2023-06-01,2023,6,Unknown,1952090.106003796,1.301039617508147,686610.9128602461
4838232.18165122,2023-07-01,2023,7,Unknown,3579285.832244998,1.301039617508147,1258946.3494062219
5398828.476310526,2023-08-01,2023,8,Unknown,3994010.5291482983,1.301039617508147,1404817.9471622277
5633972.127249435,2023-09-01,2023,9,Unknown,4167967.9389518015,1.301039617508147,1466004.188297633
3865212.3356391494,2023-10-01,2023,10,Unknown,2859453.4598896033,1.301039617508147,1005758.8757495461
4219641.88183934,2023-11-01,2023,11,Unknown,3121657.629845417,1.301039617508147,1097984.2519939225
3849131.1348842387,2023-12-01,2023,12,Unknown,2847556.714990541,1.301039617508147,1001574.4198936978
3880623.183293702,2024-01-01,2024,1,Unknown,2870854.282876565,1.301039617508147,1009768.900417137
4684101.279067975,2024-02-01,2024,2,Unknown,3465261.0117703704,1.301039617508147,1218840.2672976041
4596519.454141875,2024-03-01,2024,3,Unknown,3400468.6716447743,1.301039617508147,1196050.7824971005
5175047.983487319,2024-04-01,2024,4,Unknown,3828459.4936827896,1.301039617508147,1346588.4898045296
3082593.645323719,2024-05-01,2024,5,Unknown,2280478.353874716,1.301039617508147,802115.2914490029
