pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips,co2_month,noise_month,cost_month
Bronx,2012,1,11.92332485493999,3.0992377394483746,38991.51,12581.0,3794881.568764045,882224.9550561797,462146.80065209407
Brooklyn,2012,1,13.5190414471101,3.685485818522882,998070.1,270811.0,97138013.55280899,18990241.02247191,11829624.026910359
EWR,2012,1,5.044174757281553,3.0324757281553403,624.69,206.0,60798.480674157305,14445.460674157302,7404.137077516533
Manhattan,2012,1,10.76450163614742,2.415916172994941,28595117.22,11836138.0,2783043880.445393,829992553.460674,338923574.3241183
Queens,2012,1,23.16626573786022,9.819035744703742,5476125.33,557705.0,532968512.4546067,39108279.83146067,64905765.41481448
Staten Island,2012,1,11.73134295713036,2.9571128608923885,2253.32,762.0,219306.26786516854,53434.17977528089,26707.4711609111
Unknown,2012,1,11.548696180807738,2.773421520683032,859192.12,309795.0,83621597.11730337,21723939.26966292,10183573.02406319
Bronx,2012,2,12.061631109466846,3.139679368602787,50919.32,16218.0,4955765.728539325,1137264.4719101123,638483.751131521
Brooklyn,2012,2,14.007261112060595,3.676265972312982,1097023.5,298407.0,106768736.59550561,20925371.76404494,13755715.499724468
EWR,2012,2,5.3852150537634405,2.7461290322580645,510.78,186.0,49712.09393258426,13042.988764044943,6404.7345958853775
Manhattan,2012,2,11.063295627457231,2.43912401682865,29525188.89,12104833.0,2873563889.4964046,848834412.9550561,370220053.1223494
Queens,2012,2,23.207808273215672,9.592400553973992,5236242.06,545874.0,509621671.05303365,38278647.573033705,65657897.087027915
Staten Island,2012,2,11.267748197448697,2.6390571270105383,4758.22,1803.0,463097.77123595506,126432.8426966292,59663.91841660544
Unknown,2012,2,11.800085303688364,2.7722810960619766,894263.03,322573.0,87034902.987191,22619978.573033705,11213276.49097906
Bronx,2012,3,12.517889234246962,3.30423905057926,58468.51,17695.0,5690497.006966292,1240837.0224719099,761055.081175239
Brooklyn,2012,3,14.31826051976106,3.747309608305597,1360033.56,362936.0,132366412.32269663,25450377.258426964,17702870.338355623
EWR,2012,3,6.7661918328585,2.9988319088319084,1052.59,351.0,102444.20876404493,24613.38202247191,13701.032707935341
Manhattan,2012,3,11.369681130528408,2.4918106740560324,36258339.61,14551001.0,3528873457.32382,1020368508.3258426,471956504.3673582
Queens,2012,3,24.31075169270548,9.874107358064729,7209994.2,730192.0,701718761.352809,51203688.4494382,93848855.0700882
Staten Island,2012,3,12.333132126089874,3.014211938296445,4494.19,1491.0,437400.82898876397,104554.2808988764,58498.60267119765
Unknown,2012,3,12.137726451377748,2.852115391558653,1105930.56,387758.0,107635623.71595506,27190985.146067414,14395339.85242616
Bronx,2012,4,13.015939230075965,3.554782541521824,46016.66,12945.0,4478610.21258427,907749.9438202246,615074.7039353417
Brooklyn,2012,4,14.222626662868292,3.81764901069588,1179287.05,308904.0,114775105.92247191,21661459.146067414,15762761.424526084
EWR,2012,4,5.470958751393534,3.844414715719064,1149.48,299.0,111874.10966292134,20966.955056179773,15364.35001322557
Manhattan,2012,4,11.591667300473691,2.503068839048509,30277661.34,12096216.0,2946798904.7986517,848230157.9325842,404701766.37233216
Queens,2012,4,25.217049780599737,9.905885824811682,6068890.48,612655.0,590659880.1995506,42961571.404494375,81118903.78836739
Staten Island,2012,4,13.268579234972677,3.26172131147541,1989.65,610.0,193644.3629213483,42775.393258426964,26594.354842027922
Unknown,2012,4,12.40260236888802,2.851585843079063,889743.26,312017.0,86595012.56314607,21879753.898876403,11892618.287006613
Bronx,2012,5,13.733495728777363,3.498505072076882,52421.6,14984.0,5101976.395505617,1050731.9550561798,669833.267421014
Brooklyn,2012,5,14.66565159034866,3.8507947373349567,1233679.11,320370.0,120068858.99797754,22465496.29213483,15763717.80335489
EWR,2012,5,7.382218309859155,4.814718309859155,1367.38,284.0,133081.41078651685,19915.101123595505,17472.122430565763
Manhattan,2012,5,12.145308296838389,2.5199298948742666,31543189.7,12517487.0,3069967518.8921347,877771195.1348314,403052898.4546804
Queens,2012,5,26.59928474995544,9.877734189150742,6631189.66,671327.0,645386121.7406741,47075862.99999999,84732084.424097
Staten Island,2012,5,12.915861837692823,3.15556338028169,3136.63,994.0,305275.1579775281,69702.85393258426,40079.26354004409
Unknown,2012,5,12.849857834612202,2.8849603774069834,1010252.54,350179.0,98323679.79191011,24555810.550561797,12908815.446086703
Bronx,2012,6,13.568157964054867,3.4602826575892043,56925.11,16451.0,5540284.301348315,1153603.2696629213,684197.1597369582
Brooklyn,2012,6,14.71285673256932,3.8572596944906303,1338573.26,347027.0,130277770.54067415,24334780.977528088,16088647.3928964
EWR,2012,6,6.779766081871345,4.450315789473684,1268.34,285.0,123442.25932584268,19985.224719101123,15244.496243938282
Manhattan,2012,6,12.100564391844674,2.529191234390013,34182591.13,13515226.0,3326849487.2815733,947736241.1910112,410849127.27609557
Queens,2012,6,27.13565064605416,9.858815878664634,7213932.19,731724.0,702102029.5480899,51311117.797752805,86706058.45000589
Staten Island,2012,6,13.052768361581922,3.5222485875706213,3117.19,885.0,303383.1435955056,62059.3820224719,37466.28762527554
Unknown,2012,6,12.880625253618287,2.8929251943106267,1112144.59,384436.0,108240409.4222472,26958034.56179775,13367144.476221897
Bronx,2012,7,12.753497486835808,3.4107353997127814,57000.21,16712.0,5547593.472134831,1171905.5280898875,680999.643396767
Brooklyn,2012,7,14.165682087891142,3.898198397619179,1267951.4,325266.0,123404438.50337078,22808821.415730335,15148618.7725349
EWR,2012,7,5.566666666666666,4.116578947368422,938.58,228.0,91348.08943820225,15988.179775280898,11213.513867744306
Manhattan,2012,7,11.528407260176532,2.5112516341236266,32298799.4,12861634.0,3143507869.6943817,901904020.1573033,385884032.243806
Queens,2012,7,25.2327186317057,9.854370613846536,6991449.3,709477.0,680448694.7932584,49751078.16853932,83529069.10565025
Staten Island,2012,7,13.090774007540476,3.1685828343313376,4762.38,1503.0,463502.646741573,105395.7640449438,56897.66900367377
Unknown,2012,7,12.281039968641446,2.847102820918319,1053186.04,369915.0,102502218.85932584,25939769.831460673,12582748.689354885
Bronx,2012,8,12.86967382328654,3.416276394951044,57919.55,16954.0,5637069.01235955,1188875.438202247,734214.3455602499
Brooklyn,2012,8,14.361246551512776,3.900320082429356,1283240.41,329009.0,124892454.28561796,23071294.033707865,16266934.356786553
EWR,2012,8,5.403770491803279,3.960622950819672,1207.99,305.0,117568.64471910112,21387.696629213482,15313.026211241733
Manhattan,2012,8,11.551417426146529,2.546293026382294,32584697.97,12796916.0,3171333188.945393,897365761.3033707,413058331.69149196
Queens,2012,8,25.624815348509657,9.901062382645252,7413895.71,748798.0,721563647.6406741,52508408.06741572,93981886.71648164
Staten Island,2012,8,14.163543349488425,3.910936995153474,2420.87,619.0,235613.21280898876,43406.50561797752,30688.040268552533
Unknown,2012,8,12.215887805687746,2.8678510264742574,1117274.61,389586.0,108739692.94179776,27319171.07865168,14163077.002363335
Bronx,2012,9,13.250740996433091,3.4720869865377977,50293.18,14485.0,4894826.125393258,1015740.2808988763,664836.2997744306
Brooklyn,2012,9,14.400663221407653,3.825888108699369,1409568.13,368429.0,137187406.09056178,25835566.168539323,18633382.494985674
EWR,2012,9,7.511006289308176,4.59316037735849,973.75,212.0,94771.03932584269,14866.20224719101,12872.209450771492
Manhattan,2012,9,12.040487472820471,2.5477549430507924,33017260.76,12959355.0,3213432727.0013485,908756568.0337077,436462229.5183145
Queens,2012,9,26.558338709406225,10.04565671717078,7567774.94,753338.0,736540073.3739326,52826769.19101123,100040035.02334242
Staten Island,2012,9,14.136286286286284,3.884984984984985,2587.4,666.0,251820.88539325842,46702.314606741566,34203.39382072006
Unknown,2012,9,12.773776059476788,2.915859366058593,1044562.88,358235.0,101662962.54561797,25120726.235955052,13808300.052232184
Bronx,2012,10,14.71910074658166,3.74558510192098,44651.12,11921.0,4345707.881348315,835943.3820224719,586018.8837443057
Brooklyn,2012,10,14.945834918564415,3.8078797760747856,1331162.42,349581.0,129556504.29258426,24513876.640449435,17470699.849203523
EWR,2012,10,8.045220588235296,5.475735294117648,1489.4,272.0,144957.11011235954,19073.617977528087,19547.47216752388
Manhattan,2012,10,12.040140160010198,2.52380008859242,32948949.63,13055293.0,3206784288.708539,915484085.5393257,432434991.16528213
Queens,2012,10,27.40337958895916,10.208893292864866,7356130.36,720561.0,715941586.2732584,50528328.101123594,96544751.89524469
Staten Island,2012,10,14.736659736659735,4.067006237006237,1956.23,481.0,190391.73325842695,33729.449438202246,25674.332938280673
Unknown,2012,10,12.828500854116845,2.888262077212163,845394.31,292700.0,82278713.63168539,20525176.40449438,11095287.864447467
Bronx,2012,11,12.85138783630163,3.4395045471769614,36307.41,10556.0,3533649.2743820227,740224.6741573033,458468.41845628223
Brooklyn,2012,11,13.990472233782649,3.768012155788306,1303762.35,346008.0,126889769.38988765,24263325.033707865,16463136.936711978
EWR,2012,11,7.499009324009324,4.046783216783217,1157.38,286.0,112642.98382022472,20055.34831460674,14614.70752534901
Manhattan,2012,11,11.686942653400337,2.4616436553714505,30492995.37,12387250.0,2967756470.729663,868638508.4269662,385047442.41681343
Queens,2012,11,27.40240350761134,10.214127264842295,6948006.86,680235.0,676220622.7114607,47700523.98876404,87735305.72760764
Staten Island,2012,11,16.99942839951865,4.210740072202166,2332.75,554.0,227036.85955056178,38848.471910112356,29456.582090374726
Unknown,2012,11,12.631916558795366,2.8044659107253227,721451.66,257251.0,70215890.77438203,18039365.06741573,9110063.250252757
Bronx,2012,12,12.925214218669572,3.463733309110727,38132.24,11009.0,3711252.391910112,771990.6629213482,466425.0983012491
Brooklyn,2012,12,13.523763135733365,3.6966983693764055,1330075.77,359801.0,129450745.16561797,25230539.786516853,16269191.68059258
EWR,2012,12,7.000375375375375,5.408243243243243,1200.63,222.0,116852.32651685394,15567.43820224719,14685.839745407791
Manhattan,2012,12,11.873396304510818,2.479897504015085,32884971.0,13260617.0,3200557514.6292133,929882142.6629213,402241668.239493
Queens,2012,12,26.45981359389308,9.945280284111226,6925366.09,696347.0,674017090.69191,48830355.35955056,84709541.30416642
Staten Island,2012,12,13.67601824698599,3.1814565004887587,3254.63,1023.0,316759.6074157303,71736.43820224718,39809.911971711976
Unknown,2012,12,12.463572655213012,2.8329145325424263,755532.64,266698.0,73532850.872809,18701822.674157303,9241507.603062455
Bronx,2013,1,12.38253365725276,3.4237878327765965,33823.6,9879.0,3291910.3730337075,692750.9999999999,409188.5187362234
Brooklyn,2013,1,13.114769941389444,3.5929727607033266,1180277.18,328496.0,114871471.15910111,23035320.629213482,14278665.51704629
EWR,2013,1,7.705661375661376,3.9597777777777776,1247.33,315.0,121397.44337078651,22088.93258426966,15089.85191036003
Manhattan,2013,1,10.94067801997628,2.394413889437509,32102788.16,13407368.0,3124430910.5833707,940172850.4269662,388370615.0289493
Queens,2013,1,24.335269306171785,10.17227162040654,6900970.79,678410.0,671642797.561573,47572548.42696629,83486027.96278472
Staten Island,2013,1,12.096050096339114,3.18264450867052,2202.39,692.0,214349.4626966292,48525.52808988764,26643.902534900808
Unknown,2013,1,11.69552427618538,2.783881346865042,718135.6,257962.0,69893152.44044943,18089222.943820223,8687805.03600294
Bronx,2013,2,12.715968596292091,3.473190692395006,30598.81,8810.0,2978054.968764045,617788.8764044943,393486.98221785453
Brooklyn,2013,2,13.262997892913187,3.536766304264157,1148660.35,324777.0,111794336.53595506,22774530.977528088,14771257.27159993
EWR,2013,2,4.753170731707317,3.699121951219512,758.3199999999999,205.0,73804.13303370785,14375.337078651684,9751.655321087435
Manhattan,2013,2,11.130887376452774,2.3981331248186537,30514526.95,12724284.0,2969852049.897753,892272544.3146067,392403139.9705052
Queens,2013,2,24.54755301767088,9.997679384421309,5959836.63,596122.0,580046122.3489888,41802217.99999999,76640827.86389823
Staten Island,2013,2,12.540630048465266,2.9922778675282715,1852.22,619.0,180268.87235955056,43406.50561797752,23818.719035268186
Unknown,2013,2,11.800610311254095,2.7523725891477806,691274.89,251156.0,67278911.20426966,17611961.752808988,8889485.256095886
Bronx,2013,3,12.925813535635855,3.76699940107806,37737.8,10018.0,3672863.186516854,702498.1797752809,483933.90861131524
Brooklyn,2013,3,13.307949027477823,3.580761760930688,1406007.59,392656.0,136840873.53460675,27534450.51685393,18030058.682961795
EWR,2013,3,9.915760111576011,5.979330543933054,1429.06,239.0,139084.46876404493,16759.539325842696,18325.67323585599
Manhattan,2013,3,11.326833382422477,2.463596457920174,35113595.97,14252982.0,3417460317.889213,999470344.5168538,450282203.6038303
Queens,2013,3,25.3674713800403,10.200260012913226,7409336.27,726387.0,721119896.3004494,50936868.16853932,95014257.88881925
Staten Island,2013,3,12.567960971724412,2.9503464755077657,2469.44,837.0,240340.32898876403,58693.44943820224,31667.07522116091
Unknown,2013,3,12.30531267175534,2.8357769787158578,751574.48,265033.0,73147619.6152809,18585066.887640446,9637879.67817193
Bronx,2013,4,13.853847621470363,4.000393029763419,31451.09,7862.0,3061003.837977528,551311.7078651685,386965.1064889787
Brooklyn,2013,4,13.959359302831274,3.669730856003093,1319169.16,359473.0,128389250.15640448,25207539.24719101,16230675.454376193
EWR,2013,4,5.790186125211506,5.256598984771573,1035.55,197.0,100785.77640449438,13814.348314606741,12741.107415503307
Manhattan,2013,4,11.71971479603665,2.4727440641479768,32723434.43,13233652.0,3184835831.82764,927991259.9101123,402619664.0208674
Queens,2013,4,26.852274234745824,10.426871229003147,7168307.14,687484.0,697661533.1087639,48208849.93258426,88196775.87567891
Staten Island,2013,4,13.491734786557672,3.552697547683924,1303.84,367.0,126897.32674157302,25735.359550561796,16042.069907421015
Unknown,2013,4,12.630887019499994,2.831524326252608,682615.39,241077.0,66436118.069438204,16905186.033707865,8398702.14616936
Bronx,2013,5,14.09574815241386,4.22801756406565,29367.81,6946.0,2858246.8564044945,487078.4943820224,354899.518465834
Brooklyn,2013,5,14.073720346073978,3.7645068293376966,1481694.83,393596.0,144207197.94898877,27600366.69662921,17905754.010268923
EWR,2013,5,6.985951468710089,5.898697318007662,1539.56,261.0,149838.97438202245,18302.25842696629,18605.03396914034
Manhattan,2013,5,12.27824628626612,2.514355187576718,33220550.82,13212354.0,3233218103.4026966,926497767.5730336,401458518.329687
Queens,2013,5,28.053903918434912,10.231305777834308,7400467.17,723316.0,720256703.6689887,50721518.60674157,89432008.55137694
Staten Island,2013,5,15.384007707129095,4.787341040462428,828.21,173.0,80606.23617977528,12131.38202247191,10008.622712711243
Unknown,2013,5,13.305904517236744,3.041889310281962,2369321.5,778898.0,230596211.60674158,54619128.29213483,28632406.006465837
Bronx,2013,6,14.134670781893004,4.097414421997756,29206.37,7128.0,2842534.5723595503,499840.9887640449,353712.5315473916
Brooklyn,2013,6,14.1021808306955,3.696044506202876,1473561.2,398686.0,143415585.55505615,27957295.797752805,17846006.28020573
EWR,2013,6,8.595540935672515,6.491535087719298,1480.07,228.0,144049.06,15988.179775280898,17924.83306098457
Manhattan,2013,6,12.28991007811239,2.521656044963501,32541635.88,12904867.0,3167142134.7478647,904935673.5617976,394105272.507615
Queens,2013,6,28.08972684604112,10.279364484955728,7493810.9,729015.0,729341460.8516854,51121152.97752809,90756051.65504776
Staten Island,2013,6,14.332476190476193,3.766771428571429,1318.37,350.0,128311.47123595505,24543.25842696629,15966.516558412932
Unknown,2013,6,12.941331409186123,2.918620193477477,695723.17,238374.0,67711843.80382022,16715641.955056177,8425764.78065834
Bronx,2013,7,13.920568372276447,4.261194912747708,28814.2,6762.0,2804366.2966292133,474175.75280898873,357913.22469507717
Brooklyn,2013,7,13.781859798558266,3.729184874043208,1338822.12,359012.0,130301991.04988764,25175212.26966292,16630069.280504044
EWR,2013,7,10.925966850828727,6.513370165745857,1178.92,181.0,114739.38247191011,12692.370786516853,14643.858196914036
Manhattan,2013,7,11.774149812249952,2.4878056009545904,31063220.88,12486193.0,3023254149.017528,875576747.3370786,385849253.3048376
Queens,2013,7,26.551674082589454,10.33606888215254,7156993.84,692429.0,696560456.6525842,48555611.112359546,88900012.64644526
