pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2022,12,29.33546195652174,6.8964673913043475,25379.0,3680
Bronx,2023,1,0.05,0.16,0.16,1
Brooklyn,2022,12,25.648515637278017,13.165134842055634,279232.51,21210
EWR,2022,12,9.026731078904993,2.7856038647342993,576.62,207
Manhattan,2022,11,53.82809523809524,3.306,115.71000000000001,35
Manhattan,2022,12,16.31470015043802,3.7835393645406126,11205231.81,2961574
Manhattan,2023,1,15.8625,2.15,8.6,4
Queens,2022,11,27.0375,12.065,48.26,4
Queens,2022,12,38.22572644274935,13.340834541340506,4003330.97,300081
Staten Island,2022,12,44.18043478260869,14.13144927536232,3900.28,276
Unknown,2022,11,9.016666666666667,2.57,2.57,1
Unknown,2022,12,22.936738661777444,9.1117462172345,452243.3,49633
