pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2012,1,11.92332485493999,3.0992377394483746,38991.51,12581.0
Brooklyn,2012,1,13.5190414471101,3.685485818522882,998070.1,270811.0
EWR,2012,1,5.044174757281553,3.0324757281553403,624.69,206.0
Manhattan,2012,1,10.76450163614742,2.415916172994941,28595117.22,11836138.0
Queens,2012,1,23.16626573786022,9.819035744703742,5476125.33,557705.0
Staten Island,2012,1,11.73134295713036,2.9571128608923885,2253.32,762.0
Unknown,2012,1,11.548696180807738,2.773421520683032,859192.12,309795.0
Bronx,2012,2,12.061631109466846,3.139679368602787,50919.32,16218.0
Brooklyn,2012,2,14.007261112060595,3.676265972312982,1097023.5,298407.0
EWR,2012,2,5.3852150537634405,2.7461290322580645,510.78,186.0
Manhattan,2012,2,11.063295627457231,2.43912401682865,29525188.89,12104833.0
Queens,2012,2,23.207808273215672,9.592400553973992,5236242.06,545874.0
Staten Island,2012,2,11.267748197448697,2.6390571270105383,4758.22,1803.0
Unknown,2012,2,11.800085303688364,2.7722810960619766,894263.03,322573.0
Bronx,2012,3,12.517889234246962,3.30423905057926,58468.51,17695.0
Brooklyn,2012,3,14.31826051976106,3.747309608305597,1360033.56,362936.0
EWR,2012,3,6.7661918328585,2.9988319088319084,1052.59,351.0
Manhattan,2012,3,11.369681130528408,2.4918106740560324,36258339.61,14551001.0
Queens,2012,3,24.31075169270548,9.874107358064729,7209994.2,730192.0
Staten Island,2012,3,12.333132126089874,3.014211938296445,4494.19,1491.0
Unknown,2012,3,12.137726451377748,2.852115391558653,1105930.56,387758.0
Bronx,2012,4,13.015939230075965,3.5547825415218237,46016.66,12945.0
Brooklyn,2012,4,14.222626662868292,3.81764901069588,1179287.05,308904.0
EWR,2012,4,5.470958751393534,3.844414715719064,1149.48,299.0
Manhattan,2012,4,11.591667300473691,2.503068839048509,30277661.34,12096216.0
Queens,2012,4,25.217049780599737,9.905885824811682,6068890.48,612655.0
Staten Island,2012,4,13.268579234972677,3.26172131147541,1989.65,610.0
Unknown,2012,4,12.40260236888802,2.851585843079063,889743.26,312017.0
Bronx,2012,5,13.733495728777363,3.498505072076882,52421.6,14984.0
Brooklyn,2012,5,14.66565159034866,3.8507947373349567,1233679.11,320370.0
EWR,2012,5,7.382218309859155,4.814718309859155,1367.38,284.0
Manhattan,2012,5,12.145308296838389,2.5199298948742666,31543189.7,12517487.0
Queens,2012,5,26.59928474995544,9.877734189150742,6631189.66,671327.0
Staten Island,2012,5,12.915861837692823,3.15556338028169,3136.63,994.0
Unknown,2012,5,12.849857834612202,2.8849603774069834,1010252.54,350179.0
Bronx,2012,6,13.568157964054867,3.4602826575892043,56925.11,16451.0
Brooklyn,2012,6,14.71285673256932,3.8572596944906303,1338573.26,347027.0
EWR,2012,6,6.779766081871345,4.450315789473684,1268.34,285.0
Manhattan,2012,6,12.100564391844674,2.529191234390013,34182591.13,13515226.0
Queens,2012,6,27.13565064605416,9.858815878664634,7213932.19,731724.0
Staten Island,2012,6,13.052768361581922,3.5222485875706213,3117.19,885.0
Unknown,2012,6,12.880625253618287,2.8929251943106267,1112144.59,384436.0
Bronx,2012,7,12.753497486835808,3.4107353997127814,57000.21,16712.0
Brooklyn,2012,7,14.165682087891142,3.898198397619179,1267951.4,325266.0
EWR,2012,7,5.566666666666666,4.116578947368422,938.58,228.0
Manhattan,2012,7,11.528407260176532,2.5112516341236266,32298799.4,12861634.0
Queens,2012,7,25.2327186317057,9.854370613846536,6991449.3,709477.0
Staten Island,2012,7,13.090774007540476,3.1685828343313376,4762.38,1503.0
Unknown,2012,7,12.281039968641446,2.847102820918319,1053186.04,369915.0
Bronx,2012,8,12.86967382328654,3.416276394951044,57919.55,16954.0
Brooklyn,2012,8,14.361246551512776,3.900320082429356,1283240.41,329009.0
EWR,2012,8,5.403770491803279,3.960622950819672,1207.99,305.0
Manhattan,2012,8,11.551417426146529,2.546293026382294,32584697.97,12796916.0
Queens,2012,8,25.624815348509657,9.901062382645252,7413895.71,748798.0
Staten Island,2012,8,14.163543349488425,3.910936995153474,2420.87,619.0
Unknown,2012,8,12.215887805687746,2.8678510264742574,1117274.61,389586.0
Bronx,2012,9,13.250740996433091,3.4720869865377977,50293.18,14485.0
Brooklyn,2012,9,14.400663221407653,3.825888108699369,1409568.13,368429.0
EWR,2012,9,7.511006289308176,4.59316037735849,973.75,212.0
Manhattan,2012,9,12.040487472820471,2.5477549430507924,33017260.76,12959355.0
Queens,2012,9,26.558338709406225,10.04565671717078,7567774.94,753338.0
Staten Island,2012,9,14.136286286286284,3.884984984984985,2587.4,666.0
Unknown,2012,9,12.773776059476788,2.915859366058593,1044562.88,358235.0
Bronx,2012,10,14.71910074658166,3.74558510192098,44651.12,11921.0
Brooklyn,2012,10,14.945834918564415,3.8078797760747856,1331162.42,349581.0
EWR,2012,10,8.045220588235296,5.475735294117648,1489.4,272.0
Manhattan,2012,10,12.040140160010198,2.52380008859242,32948949.63,13055293.0
Queens,2012,10,27.40337958895916,10.208893292864866,7356130.36,720561.0
Staten Island,2012,10,14.736659736659735,4.067006237006237,1956.23,481.0
Unknown,2012,10,12.828500854116845,2.888262077212163,845394.31,292700.0
Bronx,2012,11,12.85138783630163,3.4395045471769614,36307.41,10556.0
Brooklyn,2012,11,13.990472233782649,3.768012155788306,1303762.35,346008.0
EWR,2012,11,7.499009324009324,4.046783216783217,1157.38,286.0
Manhattan,2012,11,11.686942653400337,2.4616436553714505,30492995.37,12387250.0
Queens,2012,11,27.40240350761134,10.214127264842295,6948006.86,680235.0
Staten Island,2012,11,16.99942839951865,4.210740072202166,2332.75,554.0
Unknown,2012,11,12.631916558795366,2.8044659107253227,721451.66,257251.0
Bronx,2012,12,12.925214218669572,3.463733309110727,38132.24,11009.0
Brooklyn,2012,12,13.523763135733365,3.6966983693764055,1330075.77,359801.0
EWR,2012,12,7.000375375375375,5.408243243243243,1200.63,222.0
Manhattan,2012,12,11.873396304510818,2.479897504015085,32884971.0,13260617.0
Queens,2012,12,26.45981359389308,9.945280284111226,6925366.09,696347.0
Staten Island,2012,12,13.67601824698599,3.1814565004887587,3254.63,1023.0
Unknown,2012,12,12.463572655213012,2.8329145325424263,755532.64,266698.0
Bronx,2013,1,12.38253365725276,3.4237878327765965,33823.6,9879.0
Brooklyn,2013,1,13.114769941389444,3.5929727607033266,1180277.18,328496.0
EWR,2013,1,7.705661375661376,3.9597777777777776,1247.33,315.0
Manhattan,2013,1,10.94067801997628,2.394413889437509,32102788.16,13407368.0
Queens,2013,1,24.335269306171785,10.17227162040654,6900970.79,678410.0
Staten Island,2013,1,12.096050096339114,3.18264450867052,2202.39,692.0
Unknown,2013,1,11.69552427618538,2.783881346865042,718135.6,257962.0
Bronx,2013,2,12.715968596292091,3.473190692395006,30598.81,8810.0
Brooklyn,2013,2,13.262997892913187,3.536766304264157,1148660.35,324777.0
EWR,2013,2,4.753170731707317,3.699121951219512,758.3199999999999,205.0
Manhattan,2013,2,11.130887376452774,2.3981331248186537,30514526.95,12724284.0
Queens,2013,2,24.54755301767088,9.997679384421309,5959836.63,596122.0
Staten Island,2013,2,12.540630048465266,2.9922778675282715,1852.22,619.0
Unknown,2013,2,11.800610311254095,2.7523725891477806,691274.89,251156.0
Bronx,2013,3,12.925813535635855,3.76699940107806,37737.8,10018.0
Brooklyn,2013,3,13.307949027477823,3.580761760930688,1406007.59,392656.0
EWR,2013,3,9.915760111576011,5.979330543933054,1429.06,239.0
Manhattan,2013,3,11.326833382422477,2.463596457920174,35113595.97,14252982.0
Queens,2013,3,25.3674713800403,10.200260012913226,7409336.27,726387.0
Staten Island,2013,3,12.567960971724412,2.9503464755077657,2469.44,837.0
Unknown,2013,3,12.30531267175534,2.8357769787158578,751574.48,265033.0
Bronx,2013,4,13.853847621470363,4.000393029763419,31451.09,7862.0
Brooklyn,2013,4,13.959359302831274,3.669730856003093,1319169.16,359473.0
EWR,2013,4,5.790186125211506,5.256598984771573,1035.55,197.0
Manhattan,2013,4,11.71971479603665,2.4727440641479768,32723434.43,13233652.0
Queens,2013,4,26.852274234745824,10.426871229003147,7168307.14,687484.0
Staten Island,2013,4,13.491734786557672,3.5526975476839238,1303.84,367.0
Unknown,2013,4,12.630887019499994,2.831524326252608,682615.39,241077.0
Bronx,2013,5,14.09574815241386,4.22801756406565,29367.81,6946.0
Brooklyn,2013,5,14.073720346073978,3.7645068293376966,1481694.83,393596.0
