predicted_cost,predicted_cost_with_savings,date,year,month,borough,Total_reduction
287298.6423102035,114919.45692408137,2023-06-01,2023,6,Bronx,172379.18538612215
296554.49307657045,118621.79723062814,2023-07-01,2023,7,Bronx,177932.6958459423
273055.07487333094,109222.02994933235,2023-08-01,2023,8,Bronx,163833.0449239986
451172.3525401356,180468.94101605425,2023-09-01,2023,9,Bronx,270703.41152408137
513538.4206312122,205415.36825248483,2023-10-01,2023,10,Bronx,308123.05237872736
558005.4148103404,223202.16592413612,2023-11-01,2023,11,Bronx,334803.24888620427
457322.84260945016,182929.13704378007,2023-12-01,2023,12,Bronx,274393.7055656701
381541.029385514,152616.4117542056,2024-01-01,2024,1,Bronx,228924.61763130839
437933.9210424402,175173.56841697602,2024-02-01,2024,2,Bronx,262760.3526254642
410835.53847012593,164334.21538805033,2024-03-01,2024,3,Bronx,246501.3230820756
644495.6531143995,257798.2612457598,2024-04-01,2024,4,Bronx,386697.39186863974
691607.7237251659,276643.08949006634,2024-05-01,2024,5,Bronx,414964.6342350996
3652763.860405743,1461105.5441622967,2023-06-01,2023,6,Brooklyn,2191658.3162434464
2593799.3548274403,1037519.741930976,2023-07-01,2023,7,Brooklyn,1556279.6128964643
6872622.881084406,2749049.1524337623,2023-08-01,2023,8,Brooklyn,4123573.7286506435
2094622.7329137083,837849.0931654833,2023-09-01,2023,9,Brooklyn,1256773.639748225
1221389.3944966216,488555.75779864856,2023-10-01,2023,10,Brooklyn,732833.636697973
2193425.6105121123,877370.2442048448,2023-11-01,2023,11,Brooklyn,1316055.3663072675
4780020.948561901,1912008.3794247601,2023-12-01,2023,12,Brooklyn,2868012.569137141
8864123.438425265,3545649.3753701057,2024-01-01,2024,1,Brooklyn,5318474.0630551595
8489760.821019337,3395904.3284077346,2024-02-01,2024,2,Brooklyn,5093856.492611602
8305697.87993126,3322279.1519725034,2024-03-01,2024,3,Brooklyn,4983418.7279587565
8544548.432219665,3417819.3728878656,2024-04-01,2024,4,Brooklyn,5126729.0593318
8819590.942361597,3527836.376944639,2024-05-01,2024,5,Brooklyn,5291754.565416958
8302.115254608958,3320.846101843583,2023-06-01,2023,6,EWR,4981.269152765375
9419.039927003818,3767.6159708015266,2023-07-01,2023,7,EWR,5651.423956202291
8035.907705369549,3214.363082147819,2023-08-01,2023,8,EWR,4821.54462322173
8083.7806078579815,3233.512243143192,2023-09-01,2023,9,EWR,4850.26836471479
9077.943970232522,3631.177588093008,2023-10-01,2023,10,EWR,5446.766382139514
6646.337967754185,2658.5351871016737,2023-11-01,2023,11,EWR,3987.8027806525115
5779.051120103428,2311.6204480413708,2023-12-01,2023,12,EWR,3467.430672062057
5329.916997851595,2131.9667991406372,2024-01-01,2024,1,EWR,3197.9501987109575
3739.1299344526547,1495.6519737810613,2024-02-01,2024,2,EWR,2243.4779606715933
6463.948941520529,2585.579576608211,2024-03-01,2024,3,EWR,3878.369364912318
5287.992883289966,2115.1971533159863,2024-04-01,2024,4,EWR,3172.7957299739796
7161.540014232983,2864.616005693193,2024-05-01,2024,5,EWR,4296.92400853979
25806469.496431977,10322587.798572788,2023-06-01,2023,6,Manhattan,15483881.697859189
26297817.783776864,10519127.113510745,2023-07-01,2023,7,Manhattan,15778690.67026612
5995209.559315439,2398083.8237261754,2023-08-01,2023,8,Manhattan,3597125.735589264
15728591.269875009,6291436.507950002,2023-09-01,2023,9,Manhattan,9437154.761925006
21199700.622475214,8479880.248990083,2023-10-01,2023,10,Manhattan,12719820.373485131
22279497.29596805,8911798.91838722,2023-11-01,2023,11,Manhattan,13367698.377580829
19665628.544962272,7866251.417984907,2023-12-01,2023,12,Manhattan,11799377.126977365
209046635.83619592,83618654.33447835,2024-01-01,2024,1,Manhattan,125427981.50171757
219570905.1251502,87828362.05006006,2024-02-01,2024,2,Manhattan,131742543.07509014
216664198.72700897,86665679.49080357,2024-03-01,2024,3,Manhattan,129998519.2362054
213474074.1420867,85389629.65683468,2024-04-01,2024,4,Manhattan,128084444.48525204
216966516.24226487,86786606.49690594,2024-05-01,2024,5,Manhattan,130179909.74535893
12360718.625007745,4944287.450003098,2023-06-01,2023,6,Queens,7416431.175004647
14170699.55184066,5668279.820736263,2023-07-01,2023,7,Queens,8502419.731104396
16751489.94925224,6700595.979700895,2023-08-01,2023,8,Queens,10050893.969551345
9718000.805362018,3887200.3221448064,2023-09-01,2023,9,Queens,5830800.483217211
