predicted_co2_emissions,date,year,month,borough,predicted_co2_emissions_adjusted,co2_reduction_coef,total_co2_reduction
57813473.05947311,2023-06-01,2023,6,Bronx,11562694.611894622,105.87038986931144,46250672.57718862
99012984.83176625,2023-07-01,2023,7,Bronx,19802596.96635325,105.87038986931144,79210281.99502313
119588144.87947357,2023-08-01,2023,8,Bronx,23917628.975894716,105.87038986931144,95670410.03318898
127576916.95226045,2023-09-01,2023,9,Bronx,25515383.39045209,105.87038986931144,102061427.6914185
137731316.85426077,2023-10-01,2023,10,Bronx,27546263.370852157,105.87038986931144,110184947.61301875
130887390.58377877,2023-11-01,2023,11,Bronx,26177478.116755754,105.87038986931144,104709806.59663315
152119450.06829792,2023-12-01,2023,12,Bronx,30423890.013659585,105.87038986931144,121695454.18424848
150797895.74330306,2024-01-01,2024,1,Bronx,30159579.148660615,105.87038986931144,120638210.72425258
145409378.2788346,2024-02-01,2024,2,Bronx,29081875.655766923,105.87038986931144,116327396.75267783
148034060.35961914,2024-03-01,2024,3,Bronx,29606812.07192383,105.87038986931144,118427142.41730545
152047256.469095,2024-04-01,2024,4,Bronx,30409451.293819,105.87038986931144,121637699.30488613
159556268.3581035,2024-05-01,2024,5,Bronx,31911253.671620704,105.87038986931144,127644908.81609295
101177982.10912327,2023-06-01,2023,6,Brooklyn,20235596.421824656,105.87038986931144,80942279.81690876
87374323.25164127,2023-07-01,2023,7,Brooklyn,17474864.650328256,105.87038986931144,69899352.73092316
65546910.91162737,2023-08-01,2023,8,Brooklyn,13109382.182325475,105.87038986931144,52437422.85891202
64757307.646338716,2023-09-01,2023,9,Brooklyn,12951461.529267743,105.87038986931144,51805740.2466811
26578594.890026733,2023-10-01,2023,10,Brooklyn,5315718.978005347,105.87038986931144,21262770.04163152
27299146.132274993,2023-11-01,2023,11,Brooklyn,5459829.226454999,105.87038986931144,21839211.035430126
111719297.67825168,2023-12-01,2023,12,Brooklyn,22343859.53565034,105.87038986931144,89375332.27221148
39336505.47338585,2024-01-01,2024,1,Brooklyn,7867301.09467717,105.87038986931144,31469098.50831881
21896873.28628322,2024-02-01,2024,2,Brooklyn,4379374.657256644,105.87038986931144,17517392.75863671
30589133.597416572,2024-03-01,2024,3,Brooklyn,6117826.719483315,105.87038986931144,24471201.00754339
9756210.850191219,2024-04-01,2024,4,Brooklyn,1951242.1700382438,105.87038986931144,7804862.809763106
24376084.89022871,2024-05-01,2024,5,Brooklyn,4875216.978045742,105.87038986931144,19500762.0417931
3010.580047265732,2023-06-01,2023,6,EWR,602.1160094531464,105.87038986931144,2302.593647943274
2505.3024226785506,2023-07-01,2023,7,EWR,501.06048453571015,105.87038986931144,1898.371548273529
2507.420282165628,2023-08-01,2023,8,EWR,501.48405643312566,105.87038986931144,1900.065835863191
2966.167798341539,2023-09-01,2023,9,EWR,593.2335596683077,105.87038986931144,2267.0638488039194
1322.246782989248,2023-10-01,2023,10,EWR,264.4493565978496,105.87038986931144,951.927036522087
510.4974006854882,2023-11-01,2023,11,EWR,102.09948013709764,105.87038986931144,302.52753067907906
2536.2027472258915,2023-12-01,2023,12,EWR,507.2405494451783,105.87038986931144,1923.091807911402
916.3167413086635,2024-01-01,2024,1,EWR,183.26334826173272,105.87038986931144,627.1830031776193
