predicted_co2_emissions,date,year,month,borough,predicted_co2_emissions_adjusted,co2_reduction_coef,co2__emission_with_reduction
6015262.974964622,2023-06-01,2023,6,Bronx,1203052.5949929245,105.87038986931144,4812104.5095818285
4272316.521793182,2023-07-01,2023,7,Bronx,854463.3043586365,105.87038986931144,3417747.347044676
3815815.750859267,2023-08-01,2023,8,Bronx,763163.1501718535,105.87038986931144,3052546.730297544
2932812.1741377935,2023-09-01,2023,9,Bronx,586562.4348275587,105.87038986931144,2346143.8689203653
2872559.1948262863,2023-10-01,2023,10,Bronx,574511.8389652573,105.87038986931144,2297941.4854711597
3003709.429725352,2023-11-01,2023,11,Bronx,600741.8859450704,105.87038986931144,2402861.6733904122
3327067.542424307,2023-12-01,2023,12,Bronx,665413.5084848615,105.87038986931144,2661548.1635495764
7130639.642322438,2024-01-01,2024,1,Bronx,1426127.9284644877,105.87038986931144,5704405.843468081
7714663.662531069,2024-02-01,2024,2,Bronx,1542932.7325062137,105.87038986931144,6171625.059634985
7927613.764420404,2024-03-01,2024,3,Bronx,1585522.7528840809,105.87038986931144,6341985.141146454
4032084.383856412,2024-04-01,2024,4,Bronx,806416.8767712824,105.87038986931144,3225561.63669526
3407010.9670744007,2024-05-01,2024,5,Bronx,681402.1934148802,105.87038986931144,2725502.9032696513
38251474.7957907,2023-06-01,2023,6,Brooklyn,7650294.959158141,105.87038986931144,30601073.966242693
26439719.18411997,2023-07-01,2023,7,Brooklyn,5287943.836823994,105.87038986931144,21151669.47690611
70382865.60585208,2023-08-01,2023,8,Brooklyn,14076573.121170416,105.87038986931144,56306186.614291795
14292189.36172323,2023-09-01,2023,9,Brooklyn,2858437.872344646,105.87038986931144,11433645.618988713
6589225.413918331,2023-10-01,2023,10,Brooklyn,1317845.0827836664,105.87038986931144,5271274.460744795
18901468.191854775,2023-11-01,2023,11,Brooklyn,3780293.6383709554,105.87038986931144,15121068.68309395
43498992.85013273,2023-12-01,2023,12,Brooklyn,8699798.570026547,105.87038986931144,34799088.409716316
67506565.60723338,2024-01-01,2024,1,Brooklyn,13501313.121446677,105.87038986931144,54005146.61539683
64815835.801125675,2024-02-01,2024,2,Brooklyn,12963167.160225136,105.87038986931144,51852562.770510666
63311532.29303554,2024-03-01,2024,3,Brooklyn,12662306.458607107,105.87038986931144,50649119.96403856
67839758.08731146,2024-04-01,2024,4,Brooklyn,13567951.617462292,105.87038986931144,54271700.5994593
74088900.98768291,2024-05-01,2024,5,Brooklyn,14817780.197536582,105.87038986931144,59271014.91975646
83975.22442708557,2023-06-01,2023,6,EWR,16795.044885417115,105.87038986931144,67074.30915179916
87199.33183814943,2023-07-01,2023,7,EWR,17439.866367629886,105.87038986931144,69653.59508065024
83774.35871046213,2023-08-01,2023,8,EWR,16754.871742092426,105.87038986931144,66913.6165785004
89739.49775304894,2023-09-01,2023,9,EWR,17947.89955060979,105.87038986931144,71685.72781256985
102313.21120557575,2023-10-01,2023,10,EWR,20462.64224111515,105.87038986931144,81744.6985745913
83006.39366267466,2023-11-01,2023,11,EWR,16601.27873253493,105.87038986931144,66299.24454027042
87786.2057238325,2023-12-01,2023,12,EWR,17557.241144766504,105.87038986931144,70123.0941891967
73682.740308053,2024-01-01,2024,1,EWR,14736.548061610602,105.87038986931144,58840.32185657309
60928.18303754148,2024-02-01,2024,2,EWR,12185.636607508297,105.87038986931144,48636.67604016387
85083.15437060167,2024-03-01,2024,3,EWR,17016.630874120336,105.87038986931144,67960.65310661202
80235.76344020313,2024-04-01,2024,4,EWR,16047.152688040625,105.87038986931144,64082.74036229319
88891.01157883035,2024-05-01,2024,5,EWR,17778.20231576607,105.87038986931144,71006.93887319497
246682785.95317015,2023-06-01,2023,6,Manhattan,49336557.190634035,105.87038986931144,197346122.89214623
265241781.21414196,2023-07-01,2023,7,Manhattan,53048356.2428284,105.87038986931144,212193319.1009237
-31690357.36601448,2023-08-01,2023,8,Manhattan,-6338071.473202896,105.87038986931144,-25352391.763201453
151928556.63913375,2023-09-01,2023,9,Manhattan,30385711.327826753,105.87038986931144,121542739.44091713
211468957.3265037,2023-10-01,2023,10,Manhattan,42293791.46530074,105.87038986931144,169175059.99081308
220121690.62059754,2023-11-01,2023,11,Manhattan,44024338.12411951,105.87038986931144,176097246.62608814
183454033.26006883,2023-12-01,2023,12,Manhattan,36690806.65201377,105.87038986931144,146763120.73766518
1819250185.3857074,2024-01-01,2024,1,Manhattan,363850037.0771415,105.87038986931144,1455400042.438176
1913263649.6380417,2024-02-01,2024,2,Manhattan,382652729.9276084,105.87038986931144,1530610813.8400435
1896496088.3230424,2024-03-01,2024,3,Manhattan,379299217.6646085,105.87038986931144,1517196764.788044
1869139000.1361775,2024-04-01,2024,4,Manhattan,373827800.0272355,105.87038986931144,1495311094.238552
1917107144.091331,2024-05-01,2024,5,Manhattan,383421428.8182662,105.87038986931144,1533685609.402675
117790105.9191761,2023-06-01,2023,6,Queens,23558021.183835223,105.87038986931144,94231978.86495101
134506861.1828039,2023-07-01,2023,7,Queens,26901372.23656078,105.87038986931144,107605383.07585326
124851934.90896477,2023-08-01,2023,8,Queens,24970386.981792957,105.87038986931144,99881442.05678195
87282075.38325688,2023-09-01,2023,9,Queens,17456415.076651376,105.87038986931144,69825554.43621564
112109152.51962008,2023-10-01,2023,10,Queens,22421830.503924016,105.87038986931144,89687216.1453062
123966819.03423136,2023-11-01,2023,11,Queens,24793363.806846276,105.87038986931144,99173349.35699522
87465830.32642233,2023-12-01,2023,12,Queens,17493166.06528447,105.87038986931144,69972558.39074801
394728910.609675,2024-01-01,2024,1,Queens,78945782.121935,105.87038986931144,315783022.6173501
376083079.2182015,2024-02-01,2024,2,Queens,75216615.84364031,105.87038986931144,300866357.5041713
351450839.3533119,2024-03-01,2024,3,Queens,70290167.87066238,105.87038986931144,281160565.6122596
357242099.279855,2024-04-01,2024,4,Queens,71448419.85597101,105.87038986931144,285793573.55349416
365544161.24346757,2024-05-01,2024,5,Queens,73108832.24869351,105.87038986931144,292435223.12438416
1403463.2837300152,2023-06-01,2023,6,Staten Island,280692.656746003,105.87038986931144,1122664.7565941429
460744.41520446516,2023-07-01,2023,7,Staten Island,92148.88304089304,105.87038986931144,368489.6617737028
1064227.3554415335,2023-08-01,2023,8,Staten Island,212845.47108830672,105.87038986931144,851276.0139633574
