borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips,co2_month,noise_month,cost_month
Bronx,2014,1,12.20979597124166,2.7517056804197164,212417.92,77195.0,20673753.06786517,5413190.955056179,2525322.8722880236
Brooklyn,2014,1,14.44056791980208,3.1775148465385548,616924.04,194153.0,60042652.07280899,13614706.438202245,7334279.465105072
EWR,2014,1,16.23095238095238,9.175714285714289,128.46,14.0,12502.477752808989,981.7303370786516,1527.1921322556948
Manhattan,2014,1,12.435306664360784,2.785084759197409,773003.06,277551.0,75233174.22157304,19462874.056179773,9189819.332411464
Queens,2014,1,12.481007803097397,2.7882414077934468,654857.53,234864.0,63734560.95348315,16469508.134831458,7785250.409188832
Staten Island,2014,1,11.49976076555024,3.4519138755980863,721.45,209.0,70215.72921348315,14655.831460674155,8576.932615723734
Unknown,2014,1,321.09615716753024,3.956411917098445,6108.7,1544.0,594534.3752808989,108270.83146067415,72623.06226304188
Bronx,2014,2,12.888192377980326,2.713891868386723,318293.38,117283.0,30978171.433258425,8224305.6516853925,3771530.9923468037
Brooklyn,2014,2,15.560832533209869,3.1963731826444683,842247.53,263501.0,81972450.61640449,18477637.53932584,9979983.443647318
EWR,2014,2,13.10701754385965,6.8500000000000005,130.15,19.0,12666.958426966292,1332.3483146067415,1542.1770903747245
Manhattan,2014,2,13.064907738187692,2.7287598707713334,878415.09,321910.0,85492488.87168539,22573486.629213482,10408541.126680382
Queens,2014,2,12.89825550809366,2.7720802086265066,778103.51,280693.0,75729579.81595506,19683202.393258426,9219926.293216752
Staten Island,2014,2,13.119729514717582,3.5787589498806684,1499.5,419.0,145940.1011235955,29381.78651685393,17767.918148420278
Unknown,2014,2,357.59074550128537,4.128622107969152,8030.17,1945.0,781543.062247191,136390.39325842695,95151.31929169728
Bronx,2014,3,13.628334989254643,2.762956726062268,380981.34,137889.0,37079329.96719101,9669272.460674156,4658833.535356356
Brooklyn,2014,3,17.00471710716648,3.2764372861304745,1185369.14,361786.0,115367050.45707864,25369735.123595502,14495296.544467302
EWR,2014,3,10.916666666666668,8.701428571428572,121.82,14.0,11856.23415730337,981.7303370786516,1489.6768993387216
Manhattan,2014,3,14.072933088325955,2.799076377868197,1172910.97,419035.0,114154548.56337078,29384240.842696626,14342951.707354886
Queens,2014,3,14.087717682295237,2.846473546817164,996630.09,350128.0,96997863.36606741,24552234.24719101,12187299.476759735
Staten Island,2014,3,19.23132854578097,3.8203052064631953,2127.91,557.0,207100.63393258426,39058.84269662921,26021.16541513593
Unknown,2014,3,372.147579500284,4.006482112436116,9407.22,2348.0,915565.6139325842,164650.202247191,115036.2692578986
Bronx,2014,4,15.082121671695088,2.822310627450348,349859.27,123962.0,34050348.277977526,8692661.146067414,4345748.260065026
Brooklyn,2014,4,17.79542084380261,3.33458861450217,1313861.26,394010.0,127872654.31595506,27629397.865168538,16320020.002933871
EWR,2014,4,8.284090909090908,5.990909090909091,131.8,22.0,12827.546067415731,1542.7191011235955,1637.142902277737
Manhattan,2014,4,14.469683819609411,2.805259271710622,1134831.17,404537.0,110448399.93865167,28367588.955056176,14096212.40704886
Queens,2014,4,15.11949546221967,2.9051574321668943,1057102.54,363871.0,102883395.5222472,25515942.820224717,13130712.597426157
Staten Island,2014,4,23.18991981672394,3.7037113402061856,1077.78,291.0,104895.84674157303,20405.966292134828,13387.555972814107
Unknown,2014,4,294.3263475036419,4.171458085021851,10499.56,2517.0,1021878.5249438201,176501.08988764044,130419.42436296839
Bronx,2014,5,15.730363959354792,2.894017736090386,339395.93,117275.0,33031994.895056177,8223744.662921348,4283470.896113153
Brooklyn,2014,5,18.545001674572543,3.4304478003997083,1567141.76,456833.0,152523392.41707864,32034772.505617972,19778687.738074947
