pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2019,7,25.560962864131643,6.9566927951967985,83424.66,11992
Brooklyn,2019,6,19.1,5.75,5.75,1
Brooklyn,2019,7,22.507298181648203,4.6516184265881355,331706.91,71310
EWR,2019,7,13.97696335078534,5.389895287958115,1029.47,191
EWR,2019,8,0.03333333333333333,0.01,0.01,1
Manhattan,2002,2,167.82962962962964,2.9277777777777776,26.349999999999998,9
Manhattan,2008,12,457.86190476190484,4.371428571428571,30.599999999999998,7
Manhattan,2009,1,56.75,3.850952380952381,80.87,21
Manhattan,2010,8,1188.6166666666666,2.79,2.79,1
Manhattan,2019,6,81.47902097902097,2.9234965034965037,418.06,143
Manhattan,2019,7,16.732156938634066,2.4130666770159204,13616739.8,5642919
Manhattan,2019,8,28.633333333333333,2.649230769230769,68.88,26
Manhattan,2019,9,117.44166666666668,3.164,31.64,10
Manhattan,2019,10,199.375,3.995,7.99,2
Manhattan,2019,11,158.68055555555557,4.163333333333333,24.98,6
Manhattan,2019,12,10.966666666666667,0.77,0.77,1
Manhattan,2020,1,310.98333333333335,4.25,8.5,2
Queens,2008,12,373.2833333333333,9.123333333333333,27.37,3
Queens,2009,1,33.0,14.853333333333333,89.12,6
Queens,2019,6,149.74924242424242,11.69090909090909,257.2,22
Queens,2019,7,37.38457095375856,11.601918856264595,5450105.8,469759
Queens,2019,8,368.6703703703704,10.275555555555556,92.48,9
Queens,2019,9,48.96666666666667,16.56,16.56,1
Staten Island,2019,7,42.564252061248524,18.49303886925795,5233.53,283
Unknown,2009,1,8.0,1.6433333333333333,4.93,3
Unknown,2019,6,15.622222222222222,2.376666666666667,7.130000000000001,3
Unknown,2019,7,17.072594811688642,2.9812667555924866,136336.31,45731
