predicted_cost,predicted_cost_with_savings,date,year,month,borough,Total_reduction
4578926.378894203,1831570.551557681,2023-06-01,2023,6,Bronx,2747355.8273365223
8886028.89233383,3554411.5569335315,2023-07-01,2023,7,Bronx,5331617.335400298
9222622.703583525,3689049.08143341,2023-08-01,2023,8,Bronx,5533573.622150116
9230844.169857277,3692337.6679429095,2023-09-01,2023,9,Bronx,5538506.501914367
11216298.64887934,4486519.459551736,2023-10-01,2023,10,Bronx,6729779.189327604
8560555.811962603,3424222.3247850407,2023-11-01,2023,11,Bronx,5136333.487177562
12445950.870445266,4978380.348178106,2023-12-01,2023,12,Bronx,7467570.52226716
11853795.904695,4741518.361878,2024-01-01,2024,1,Bronx,7112277.542817
8278282.001290799,3311312.8005163185,2024-02-01,2024,2,Bronx,4966969.200774481
8089306.802207625,3235722.720883049,2024-03-01,2024,3,Bronx,4853584.0813245755
8407911.797958985,3363164.719183594,2024-04-01,2024,4,Bronx,5044747.078775391
9843970.313333798,3937588.1253335187,2024-05-01,2024,5,Bronx,5906382.1880002795
12810092.906747466,5124037.162698985,2023-06-01,2023,6,Brooklyn,7686055.744048481
11855124.46350056,4742049.785400223,2023-07-01,2023,7,Brooklyn,7113074.678100336
8500433.523625568,3400173.4094502265,2023-08-01,2023,8,Brooklyn,5100260.114175341
8319844.920615055,3327937.9682460213,2023-09-01,2023,9,Brooklyn,4991906.952369033
4306739.593636106,1722695.837454442,2023-10-01,2023,10,Brooklyn,2584043.756181664
4004123.1758447713,1601649.2703379085,2023-11-01,2023,11,Brooklyn,2402473.905506863
16847714.761945367,6739085.904778145,2023-12-01,2023,12,Brooklyn,10108628.857167222
6141128.217731886,2456451.287092754,2024-01-01,2024,1,Brooklyn,3684676.9306391315
2682509.060945904,1073003.6243783615,2024-02-01,2024,2,Brooklyn,1609505.4365675424
4791796.372835247,1916718.5491340985,2024-03-01,2024,3,Brooklyn,2875077.8237011484
1656684.1848352486,662673.6739340994,2024-04-01,2024,4,Brooklyn,994010.5109011492
4136255.523245398,1654502.209298159,2024-05-01,2024,5,Brooklyn,2481753.313947239
400.9390226249411,160.37560904997645,2023-06-01,2023,6,EWR,240.56341357496467
608.8630439405325,243.54521757621296,2023-07-01,2023,7,EWR,365.31782636431956
947.22690605422,378.8907624216879,2023-08-01,2023,8,EWR,568.3361436325321
743.358657126473,297.3434628505891,2023-09-01,2023,9,EWR,446.01519427588386
805.3475745931017,322.1390298372406,2023-10-01,2023,10,EWR,483.2085447558611
678.3144773021047,271.3257909208419,2023-11-01,2023,11,EWR,406.9886863812628
1141.6485082756374,456.6594033102549,2023-12-01,2023,12,EWR,684.9891049653825
918.6492883353461,367.4597153341383,2024-01-01,2024,1,EWR,551.1895730012078
1706.7564423340336,682.7025769336133,2024-02-01,2024,2,EWR,1024.0538654004204
887.4679432553859,354.98717730215435,2024-03-01,2024,3,EWR,532.4807659532315
774.8872965700546,309.95491862802174,2024-04-01,2024,4,EWR,464.9323779420328
1416.5998639301417,566.6399455720566,2024-05-01,2024,5,EWR,849.9599183580851
