predicted_noise,date,year,month,borough,predicted_noise_adjusted,noise_reduction_coef,total_noise_reduction
995453.2691446783,2023-06-01,2023,6,Bronx,199090.65382893567,1.301039617508147,736428.4410376329
1016008.0268566126,2023-07-01,2023,7,Bronx,203201.60537132254,1.301039617508147,751634.6879272658
1615462.0477024966,2023-08-01,2023,8,Bronx,323092.4095404993,1.301039617508147,1195106.02277414
1546798.0685990534,2023-09-01,2023,9,Bronx,309359.6137198107,1.301039617508147,1144308.9550925628
2074444.0923908097,2023-10-01,2023,10,Bronx,414888.81847816193,1.301039617508147,1534657.302689575
1778246.5512532901,2023-11-01,2023,11,Bronx,355649.3102506581,1.301039617508147,1315532.7086777377
2304485.9945162274,2023-12-01,2023,12,Bronx,460897.1989032455,1.301039617508147,1704840.4791445725
2123021.5636228523,2024-01-01,2024,1,Bronx,424604.3127245705,1.301039617508147,1570594.5310033676
2201774.77650741,2024-02-01,2024,2,Bronx,440354.95530148206,1.301039617508147,1628855.5338941528
2081147.887192021,2024-03-01,2024,3,Bronx,416229.5774384042,1.301039617508147,1539616.7169659818
1987201.3438858734,2024-04-01,2024,4,Bronx,397440.2687771747,1.301039617508147,1470115.808613683
1170172.7474071546,2024-05-01,2024,5,Bronx,234034.54948143093,1.301039617508147,865684.5266661423
1004671.5737174959,2023-06-01,2023,6,Brooklyn,200934.31474349918,1.301039617508147,743248.0697193521
1571417.7191907607,2023-07-01,2023,7,Brooklyn,314283.54383815214,1.301039617508147,1162522.3775264663
2293272.06581206,2023-08-01,2023,8,Brooklyn,458654.41316241206,1.301039617508147,1696544.503542812
2702119.262372718,2023-09-01,2023,9,Brooklyn,540423.8524745436,1.301039617508147,1999006.4200569587
2994570.398820702,2023-10-01,2023,10,Brooklyn,598914.0797641404,1.301039617508147,2215359.453564121
2777552.689931035,2023-11-01,2023,11,Brooklyn,555510.537986207,1.301039617508147,2054811.4720677151
3470483.7226361213,2023-12-01,2023,12,Brooklyn,694096.7445272243,1.301039617508147,2567436.3596227714
2949237.557334263,2024-01-01,2024,1,Brooklyn,589847.5114668526,1.301039617508147,2181822.5766272964
4003979.518879505,2024-02-01,2024,2,Brooklyn,800795.9037759011,1.301039617508147,2962112.322528816
